scenario,target,environment,app_version,measured_at_utc,analysis_type,analysis_subtype,input_number,radius,time_getblocksnearby,time_doaggregate,time_batch_summarize,nrows_blocks,nrows_results_bysite,time_ejamit,web_elapsed_seconds,elapsed_seconds,predicted_fit_seconds,predicted_upper_seconds,candidate_profile,candidate_fit_seconds,candidate_absolute_percentage_error,radius_observed,displayed_eta_text,status,validity,valid_for_local_model,valid_for_web_calibration,calibration_role,benchmark_profile,cache_state,timing_boundary,duration_lower_bound_seconds,source_file,source_row,source_repeat,scenario_occurrence,notes,error
point_1_radius_1,ejamit,local_r,3.2022.2,2026-07-25 18:46:02 UTC,points,point_buffer,1,1,,,,,,2.158,,2.158,33.8062685931762,123.67570716491,ejamit_v3.2022.2,0.889,58.804448563484705,1,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,first_occurrence_same_R_session_not_proven_cold,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,2,,1,,
points_10_radius_1,ejamit,local_r,3.2022.2,2026-07-25 18:46:05 UTC,points,point_buffer,10,1,,,,,,1.029,,1.029,26.7245239783798,102.290573184132,ejamit_v3.2022.2,1.0175,1.117589893100082,1,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,first_occurrence_same_R_session_not_proven_cold,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,3,,1,,
points_10_radius_5,ejamit,local_r,3.2022.2,2026-07-25 18:46:06 UTC,points,point_buffer,10,5,,,,,,1.427,,1.427,25.9176830661361,101.438391493795,ejamit_v3.2022.2,1.4185,0.5956552207428137,5,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,first_occurrence_same_R_session_not_proven_cold,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,4,,1,,
points_100_radius_3_1,ejamit,local_r,3.2022.2,2026-07-25 18:46:07 UTC,points,point_buffer,100,3.1,,,,,,1.706,,1.706,17.9348410964495,77.902865760209,ejamit_v3.2022.2,1.7015,0.2637749120750263,3.1,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,first_occurrence_same_R_session_not_proven_cold,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,5,,1,,
points_1000_radius_3_1,ejamit,local_r,3.2022.2,2026-07-25 18:46:09 UTC,points,point_buffer,1000,3.1,,,,,,5.383,,5.383,16.3153312125838,66.9606689499408,ejamit_v3.2022.2,5.704,5.963217536689573,3.1,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,first_occurrence_same_R_session_not_proven_cold,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,6,,1,,
point_1_radius_1,ejamit,local_r,3.2022.2,2026-07-25 18:46:21 UTC,points,point_buffer,1,1,,,,,,2.068,,2.068,33.8062685931762,123.67570716491,ejamit_v3.2022.2,0.889,57.011605415860735,1,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,same_R_session_repeat_not_proven_warm,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,7,,2,,
points_10_radius_1,ejamit,local_r,3.2022.2,2026-07-25 18:46:24 UTC,points,point_buffer,10,1,,,,,,1.006,,1.006,26.7245239783798,102.290573184132,ejamit_v3.2022.2,1.0175,1.1431411530815174,1,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,same_R_session_repeat_not_proven_warm,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,8,,2,,
points_10_radius_5,ejamit,local_r,3.2022.2,2026-07-25 18:46:25 UTC,points,point_buffer,10,5,,,,,,1.41,,1.41,25.9176830661361,101.438391493795,ejamit_v3.2022.2,1.4185,0.6028368794326365,5,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,same_R_session_repeat_not_proven_warm,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,9,,2,,
points_100_radius_3_1,ejamit,local_r,3.2022.2,2026-07-25 18:46:26 UTC,points,point_buffer,100,3.1,,,,,,1.697,,1.697,17.9348410964495,77.902865760209,ejamit_v3.2022.2,1.7015,0.2651738361814937,3.1,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,same_R_session_repeat_not_proven_warm,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,10,,2,,
points_1000_radius_3_1,ejamit,local_r,3.2022.2,2026-07-25 18:46:28 UTC,points,point_buffer,1000,3.1,,,,,,6.025,,6.025,16.3153312125838,66.9606689499408,ejamit_v3.2022.2,5.704,5.327800829875529,3.1,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,same_R_session_repeat_not_proven_warm,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,11,,2,,
