"n","newsort","ejscreensort","in_api","in_acs","in_csv","oldname_is_what","oldname","api_synonym","acsname","csvname","rname","sort_within_varlist","topic_root_term","basevarname","sortvarlist","varlist","ratio.to","state.","pctile.","text.","avg.","bin.","DISPARITY",".eo",".supp","varcategory","DEJ","zone","jsondoc_shortzone","jsondoc_sort_zone","vartype","raw_pctile_avg","agree","jsondoc_vartype","jsondoc_shortvartype","percentage","dollar","denominator","calculation_type","sigfigs","decimals","pct_as_fraction_ejscreenit","pct_as_fraction_ejamit","pct_as_fraction_blockgroupstats","units","shortlabel","longname","names_friendly","csv_description","acs_description","api_description","reportlabel","ejscreenreport","reportsort","errornote","api_example","csv_example","csv_descriptions_name","EJAMejscreendata","ejscreen_ftp_names","ejscreen_apinames_old","ejam_apinames","ejscreen_indicator"
"1","010116162","0101162","1","0","1","api","RAW_D_DEMOGIDX2","","","DEMOGIDX_2","Demog.Index","16","Demog.Index","Demog.Index","1","names_d","0","0",0,0,"0",0,"0","0","0","Demographic","Demographic","Nation","us","0","raw","raw","TRUE","raw data for indicator","raw","1","","pop","wtdmean","3","2","FALSE","FALSE","FALSE","","Demog.Ind.","Demographic Index USA","Demographic Index USA","Demographic Index","","Demographic Index","Demographic Index USA","","162","","13%","0.2662338","DEMOGIDX_2","","DEMOGIDX_2","RAW_D_DEMOGIDX2","Demog.Index","DEMOGIDX_2"
"2","010117163","0101163","1","0","1","api","RAW_D_DEMOGIDX5","","","DEMOGIDX_5","Demog.Index.Supp","17","Demog.Index.Supp","Demog.Index.Supp","1","names_d","0","0",0,0,"0",0,"0","0","1","Demographic","Demographic","Nation","us","0","raw","raw","TRUE","raw data for indicator","raw","1","","pop","wtdmean","3","2","FALSE","FALSE","FALSE","","Suppl Demog.Ind.","Supplemental Demographic Index USA","Supplemental Demographic Index USA","Supplemental Demographic Index","","Supplemental Demographic Index","Supplemental Demographic Index USA","","163","","13%","0.1717064","DEMOGIDX_5","","DEMOGIDX_5","RAW_D_DEMOGIDX5","Demog.Index.Supp","DEMOGIDX_5"
"3","010120167","0101167","1","1","1","api","RAW_D_INCOME","P_LOWINC","PCT_LOWINC","LOWINCPCT","pctlowinc","20","pctlowinc","pctlowinc","1","names_d","0","0",0,0,"0",0,"0","0","0","Demographic","Demographic","","","0","raw","raw","TRUE","raw data for indicator","raw","1","","povknownratio","wtdmean","2","0","FALSE","TRUE","TRUE","","%Low-inc.","% Low Income","% Low Income","% low income","","Low Income","Low Income","","167","","16%","0.3795094","LOWINCPCT","","LOWINCPCT","RAW_D_INCOME","pctlowinc","LOWINCPCT"
"4","010121169","0101169","1","1","1","api","RAW_D_LING","P_LIMITED_ENG_HH","PCT_LINGISO","LINGISOPCT","pctlingiso","21","pctlingiso","pctlingiso","1","names_d","0","0",0,0,"0",0,"0","0","0","Demographic","Demographic","","","0","raw","raw","TRUE","raw data for indicator","raw","1","","hhlds","wtdmean","2","0","FALSE","TRUE","TRUE","","%Limited English","% in limited English-speaking Households","% in limited English-speaking Households","% Limited English speaking households","","Limited English Speaking","Limited English Speaking Households","","169","","9%","0","LINGISOPCT","","LINGISOPCT","RAW_D_LING","pctlingiso","LINGISOPCT"
"5","010122168","0101168","1","0","1","api","RAW_D_UNEMPLOYED","P_EMP_STAT_UNEMPLOYED","UNEMPPCT","UNEMPPCT","pctunemployed","22","pctunemployed","pctunemployed","1","names_d","0","0",0,0,"0",0,"0","0","0","Demographic","Demographic","","","0","raw","raw","TRUE","raw data for indicator","raw","1","","laborforce_universe","wtdmean","2","0","TRUE","TRUE","TRUE","","%Unemployed","% Unemployed (among civilian labor force)","% Unemployed","% unemployed","Pct_Civilian_labor_force_unemployed","Unemployment Rate","Unemployment Rate","","168","","3%","0.02222222","UNEMPPCT","","UNEMPPCT","RAW_D_UNEMPLOYED","pctunemployed","UNEMPPCT"
"6","010124170","0101170","1","1","1","api","RAW_D_LESSHS","P_EDU_LTHS","PCT_EDU_LTHS","LESSHSPCT","pctlths","24","pctlths","pctlths","1","names_d","0","0",0,0,"0",0,"0","0","0","Demographic","Demographic","","","0","raw","raw","TRUE","raw data for indicator","raw","1","","age25up","wtdmean","2","0","FALSE","TRUE","TRUE","","%< High School","% with Less Than High School Education","% with Less Than High School Education","% less than high school education","","Less Than High School Education","Less Than High School Education","","170","","21%","0.206544","LESSHSPCT","","LESSHSPCT","RAW_D_LESSHS","pctlths","LESSHSPCT"
"7","010126171","0101171","1","1","1","api","RAW_D_UNDER5","P_AGE_LT5","PCT_AGE_LT5","UNDER5PCT","pctunder5","26","pctunder5","pctunder5","1","names_d","0","0",0,0,"0",0,"0","0","0","Demographic","Demographic","","","0","raw","raw","TRUE","raw data for indicator","raw","1","","pop","wtdmean","2","0","FALSE","TRUE","TRUE","","%< age 5","% under Age 5","% under Age 5","% under age 5","","Under Age 5","Under Age 5","","171","","0%","0.02741703","UNDER5PCT","","UNDER5PCT","RAW_D_UNDER5","pctunder5","UNDER5PCT"
"8","010127172","0101172","1","1","1","api","RAW_D_OVER64","P_AGE_GT64","PCT_AGE_GT64","OVER64PCT","pctover64","27","pctover64","pctover64","1","names_d","0","0",0,0,"0",0,"0","0","0","Demographic","Demographic","","","0","raw","raw","TRUE","raw data for indicator","raw","1","","pop","wtdmean","2","0","FALSE","TRUE","TRUE","","%> age 64","% over Age 64","% over Age 64","% over age 64","","Over Age 64","Over Age 64","","172","","26%","0.1760462","OVER64PCT","","OVER64PCT","RAW_D_OVER64","pctover64","OVER64PCT"
"9","010128166","0101166","1","1","1","api","RAW_D_PEOPCOLOR","PCT_MINORITY","PCT_MINORITY","PEOPCOLORPCT","pctmin","28","pctmin","pctmin","1","names_d","0","0",0,0,"0",0,"0","0","0","Demographic","Demographic","","","0","raw","raw","TRUE","raw data for indicator","raw","1","","pop","wtdmean","2","0","FALSE","TRUE","TRUE","","%POC","% People of Color","% People of Color","% people of color","","People of Color","People of Color","","166","","11%","0.1529582","PEOPCOLORPCT","","PEOPCOLORPCT","RAW_D_PEOPCOLOR","pctmin","PEOPCOLORPCT"
"10","010218164","0102164","1","0","1","api","RAW_D_DEMOGIDX2ST","","","DEMOGIDX_2ST","Demog.Index.State","18","Demog.Index.State","Demog.Index.State","2","names_d_demogindexstate","0","0",0,0,"0",0,"0","0","0","Demographic","Demographic","State","state","0","raw","raw","TRUE","raw data for indicator","raw","1","","pop","wtdmean","2","0","FALSE","FALSE","FALSE","","State Demog.Ind.","Demographic Index State","Demographic Index State","State Demographic Index","","Demographic Index State","Demographic Index State","","164","","","","","","DEMOGIDX_2ST","RAW_D_DEMOGIDX2ST","Demog.Index.State","DEMOGIDX_2ST"
